;rotation_range;w_init;trainable_layers;lr;bs;mean_ovs;backbone_name;optim_name;beta;use_thresholding;pre;rec;auc;f1
0;20;imagenet;5;0.001;128;10;VGG16;Adam;0.0;1;0.7631578947368421;1.0;0.5;0.8656716417910448
1;20;imagenet;5;0.001;128;10;MobileNetV2;Adam;0.0;1;0.7635135135135135;0.9277504105090312;0.5009122422915526;0.8376575240919198
2;20;imagenet;5;0.001;128;10;EfficientNetB0;Adam;0.0;1;0.8387553041018387;0.973727422003284;0.6852764094143404;0.9012158054711246
3;20;imagenet;5;0.001;128;10;DenseNet121;Adam;0.0;1;0.803840877914952;0.9622331691297208;0.6028097062579821;0.8759342301943199
4;20;imagenet;3;0.001;128;10;EfficientNetB0;Adam;0.0;1;0.8418803418803419;0.9704433497536946;0.6915708812260537;0.9016018306636157
5;20;imagenet;5;0.001;128;10;EfficientNetB0;Adam;0.0;1;0.8380281690140845;0.9770114942528736;0.6842729428936325;0.9021986353297952
6;20;imagenet;7;0.001;128;10;EfficientNetB0;Adam;0.0;1;0.8481375358166189;0.9720853858784894;0.7056194125159643;0.9058913542463658
7;20;imagenet;7;0.001;128;10;EfficientNetB0;Adam;0.0;1;0.8282548476454293;0.9819376026272578;0.6629264732713009;0.898572501878287
8;20;imagenet;7;0.001;128;10;EfficientNetB0;RMSprop;0.0;1;0.8410689170182841;0.9819376026272578;0.6920270023718299;0.906060606060606
9;20;imagenet;7;0.001;128;10;EfficientNetB0;SGD;0.0;1;0.7680945347119645;0.8538587848932676;0.5115854771027184;0.8087091757387248
10;20;imagenet;7;0.001;128;10;EfficientNetB0;RMSprop;0.0;1;0.8312412831241283;0.9786535303776684;0.6692209450830141;0.8989441930618401
11;20;imagenet;7;0.001;128;10;EfficientNetB0;RMSprop;0.9;1;0.8463726884779517;0.9770114942528736;0.7027914614121511;0.9070121951219512
12;20;imagenet;7;0.001;128;10;EfficientNetB0;RMSprop;0.99;1;0.8478260869565217;0.9605911330049262;0.7025177887246853;0.9006928406466513
13;20;imagenet;7;0.001;128;10;EfficientNetB0;RMSprop;0.999;1;0.8497854077253219;0.9753694581280788;0.7099069512862616;0.908256880733945
14;20;imagenet;7;0.001;128;10;EfficientNetB0;RMSprop;0.999;1;0.8558951965065502;0.9655172413793104;0.7208538587848933;0.9074074074074076
15;20;imagenet;7;0.001;128;10;EfficientNetB0;RMSprop;0.999;0;0.7750642673521851;0.9901477832512315;0.5321109286626529;0.8695025234318674
